App Name,Category,Description,Auth Methods,Gating,API Type,API Breadth,MCP Availability,Buildability,Main Blocker,Status,Confidence,Evidence URLs
Plain,AI Support Stack,Plain is AI support infrastructure that enables B2B teams to build anything â€“ no-code or all-code.,API_KEY,SELF_SERVE,GRAPHQL,"fully featured, with no limitations in what can be done via the API vs the UI",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.85,https://plain.com; https://www.plain.com/docs/graphql/authentication; https://www.plain.com/docs/graphql/introduction; https://help.plain.com/article/api-quickstart
Help Scout,Customer Service,"Help Scout is a customer service software that provides intuitive and affordable support tools, including AI-powered agents, team collaboration, and customer insights.","API_KEY, OAUTH2",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.92,https://helpscout.com; https://developer.helpscout.com/mailbox-api/overview/authentication/; https://developer.helpscout.com/docs-api/
Gorgias,AI Agent,"Conversational AI platform for Ecommerce that automates routine support and personalizes the rest, with an AI Agent trained on the brand's data.","API_KEY, OAUTH2",FREE_WITH_APPROVAL,REST,full,OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.85,https://gorgias.com; https://developers.gorgias.com/reference/authentication; https://developers.gorgias.com; https://docs.gorgias.com/en-US/rest-api-208286
Gladly,Customer Experience AI,Gladly is the only customer experience AI purpose-built to engage customers rather than deflect them.,API_KEY,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.9,https://gladly.com; https://developer.gladly.com/glad-app/; https://developer.gladly.com/rest/
Slack,AI work platform and productivity tools,Slack connects your team. Slackbot multiplies what they can do.,OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.85,https://slack.com; https://api.slack.com/authentication/sign-in-with-slack
Twilio,Communications Platform as a Service,"Twilio is a platform that empowers humans and AI agents to work together, coordinate across channels, and pick up every customer conversation where the last one left off.","API_KEY, BASIC",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.9,https://www.twilio.com; https://twilio.com; https://www.twilio.com/docs; https://www.twilio.com/docs/usage/api
Zoho Cliq,Team chat & communication software,"Zoho Cliq streamlines business communication and fuels effortless conversations within teams and external stakeholders through organization, automation, and AI.",API_KEY,SELF_SERVE,SDK_ONLY,comprehensive,OFFICIAL,BUILD_WITH_CAVEATS,"no documented HTTP API, SDK only",VERIFIED,1.0,https://developers.zoho.com; https://developers.zoho.com/
Lark,AI agent toolkit,"An open, swift, and accessible way to reshape workplace experiences",OAUTH2,SELF_SERVE,REST,An open platform for any,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://open.larksuite.com; https://open.larksuite.com/document/server-docs/getting-started/api-access-token/app-access-token-development-guide
Pumble,Communication,"Send 1-on-1 and group messages, organize work conversation by topic, share files, images, and links with team, and more","OAUTH2, API_KEY",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.88,https://pumble.com; https://docs.pumble.com/; https://pumble.com/help/integrations/automation-workflow-integrations/api-keys-integration/; https://pumble.com/
Discord,Social Media,Discord Social SDK allows developers to authenticate users and access their data,"OAUTH2, EXTERNAL_PROVIDER",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.86,https://discord.com/developers/docs/social-sdk/authentication.html; https://discord.com/; https://docs.discord.com/developers/reference
Telegram,messaging,a messaging platform with APIs for building custom clients and bots,"OAUTH2, API_KEY, TOKEN",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://core.telegram.org/api; https://core.telegram.org/api/auth
WhatsApp Business,messaging,Enterprise-grade APIs for messaging and calling,OAUTH,FREE_WITH_APPROVAL,GRAPHQL,broad,OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.86,https://developers.facebook.com/docs/whatsapp; https://developers.facebook.com/docs/whatsapp/overview/
Aircall,customer communications platform,AI-powered customer communications platform,"OAUTH2, BASIC",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://aircall.io; https://developer.aircall.io/api-references/
Vonage,Communication Platform,"Cloud communication platform for building voice, video, and messaging applications","API_KEY, JWT",SELF_SERVE,"REST, WebSockets, and other",Comprehensive,OFFICIAL,UNKNOWN,not enough verified facts to decide,VERIFIED,0.88,https://developer.vonage.com; https://developer.vonage.com/en/getting-started/concepts/authentication
Google Ads,advertising,"Create and manage ads that reach users looking for your products or services on Google Search, Display, YouTube and more.",OAUTH2,FREE_WITH_APPROVAL,REST,comprehensive,OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.86,https://developers.google.com/google-ads; https://developers.google.com/google-ads/api/docs/oauth/overview; https://developers.google.com/google-ads/api/docs/client-libs/php/authentication; https://developers.google.com/google-ads/api
Meta Ads,Marketing API,A collection of Graph API endpoints for advertising across Meta technologies,OAUTH2,FREE_WITH_APPROVAL,GRAPHQL,"Comprehensive, with multiple endpoints for advertising and commerce",OFFICIAL,BUILD_WITH_CAVEATS,credentials require an approval or app review step,VERIFIED,0.86,https://developers.facebook.com/docs/marketing-apis; https://developers.facebook.com/docs/
LinkedIn Ads,AI agent toolkit,"Create LinkedIn marketing campaigns, report campaign performance, manage leads, and grow a company Page.",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.88,https://learn.microsoft.com/en-us/linkedin/; https://learn.microsoft.com/linkedin/marketing; https://learn.microsoft.com/en-us/linkedin/shared/authentication/authentication; https://learn.microsoft.com/en-us/linkedin/marketing
GoHighLevel,API Design and Documentation,"API key authentication is a simple way to secure access to APIs, but has drawbacks and tradeoffs.","API_KEY, BASIC, OAUTH, BEARER",UNKNOWN,REST,broad,OFFICIAL,BUILD_WITH_CAVEATS,usable API but access path unclear,UNRESOLVED,0.67,https://blog.stoplight.io/api-keys-best-practices-to-authenticate-apis; https://gohighlevel.stoplight.io/
Mailchimp,Marketing and E-commerce,Mailchimp’s developer tools provide everything you need to integrate your data with intelligent marketing tools and event-driven transactional email and SMS.,"API_KEY, OAUTH2",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://mailchimp.com/developer; https://mailchimp.com/developer/marketing/docs/fundamentals/
Klaviyo,Marketing Automation,Create apps and integrations using Klaviyo's API that help your business grow.,"OAUTH2, API_KEY, PRIVATE_KEY",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.86,https://developers.klaviyo.com; https://developers.klaviyo.com/en/docs/authenticate/; https://developers.klaviyo.com/en/docs/set_up_oauth
systeme.io,online business management,"a platform for sales funnels, email marketing, online courses, selling online, blogging, and sales funnels",API_KEY,SELF_SERVE,REST,a carefully selected set of features,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.79,https://systeme.io; https://help.systeme.io/article/2329-how-to-use-systeme-io-public-api
Pinterest,Social Media,"One API to seamlessly integrate with Pinterest Securely plan content, manage ads, upload product feeds, and more.",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.92,https://developers.pinterest.com; https://developers.pinterest.com/docs/api/v5/introduction/
Threads,Social Media,"Create and publish posts, retrieve media and profiles, moderate replies, and access insights.",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.86,https://developers.facebook.com/social-technologies/threads-api/; https://developers.facebook.com/docs/threads; https://developers.facebook.com/docs/threads/; https://developers.facebook.com/documentation/threads/reference/
SendGrid,Email API and Email Marketing,"Send email on a world-class platform that delivers more than 200 billion emails every month—and explore the rest of the Twilio Platform to build a complete solution for verification and identity, alerts, support and sales, and more.","API_KEY, TOKEN, JWT",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.82,https://sendgrid.com
Shopify,E-commerce,"Shopify's platform for developers to build apps, customize storefronts, and extend Shopify's core functionality.",OAUTH2,SELF_SERVE,BOTH,extensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,1.0,https://shopify.dev; https://shopify.dev/docs/api/usage/authentication; https://shopify.dev/docs/api
WooCommerce,E-commerce,Programmatic APIs to interact with WooCommerce store data,"API_KEY, OAUTH1",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.87,https://developer.woocommerce.com/docs/apis/; https://developer.woocommerce.com/docs/apis/rest-api/; https://woocommerce.com/document/woocommerce-rest-api; https://developer.woocommerce.com/docs/apis/rest-api/v3/
BigCommerce,E-commerce,"BigCommerce is a leading e-commerce platform that empowers businesses to build, run, and grow their online stores.","OAUTH2, API_KEY",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.4,https://developer.bigcommerce.com; https://docs.bigcommerce.com/developer/docs/overview/api-fundamentals/api-accounts
Salesforce Commerce Cloud,AI agent toolkit,Salesforce Commerce Cloud is a cloud-based platform for building and managing e-commerce experiences. It provides a range of APIs and tools for developers to integrate with the platform and build custom applications.,"OAUTH2, API_KEY",SELF_SERVE,REST,broad public API,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.92,https://developer.salesforce.com/docs/commerce; https://developer.salesforce.com/docs/commerce/commerce-api/guide/authorization.html
Magento,commerce platform,"Customize and extend Adobe Commerce to support multichannel, global commerce for B2B and B2C, and integrate with backend systems.","OAUTH2, TOKEN, BASIC",SELF_SERVE,REST,wide array of tasks,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.97,https://developer.adobe.com/commerce; https://developer.adobe.com/commerce/webapi/get-started/
Squarespace,Website Builder,Easily create your own website with a professionally designed template or use Squarespace's AI website builder to get started in minutes.,"API_KEY, OAUTH2",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.92,https://developers.squarespace.com; https://developers.squarespace.com/commerce-apis/authentication-and-permissions; https://developers.squarespace.com/commerce-apis/oauth; https://developers.squarespace.com/commerce-apis/overview
Ecwid,ecommerce,"Build custom storefronts, personalize shopping experience, or integrate with any external services",OAUTH2,SELF_SERVE,REST,"full access to store data, payment and shipping methods, and storefront settings",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://api-docs.ecwid.com; https://developers.ecwid.com; https://docs.ecwid.com/api-reference
Gumroad,E-commerce,"Sell digital products, such as video lessons, monthly subscriptions, and more, directly to customers.",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://gumroad.com/; https://gumroad.com/api; https://gumroad.com/help/article/280-create-application-api
Amazon Selling Partner,AI agent toolkit,"Build automated solutions for your own sales in the Amazon store, or create and list apps for other Amazon sellers in the Selling Partner Appstore.",OAUTH2,SELF_SERVE,REST,"Programmatically access data for orders, shipments, payments, and much more, including access to restricted data and grantless operations.",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.94,https://developer-docs.amazon.com/sp-api; https://developer-docs.amazon.com/sp-api/lang-pt_BR/docs/using-postman-for-selling-partner-api-models
fanbasis,E-commerce,"One place to create, sell, and get paid, with payments built in.","API_KEY, TOKEN, JWT",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developers.fanbasis.com
DataForSEO,SEO,Try now Contact us DataForSEO APIs in Figures SERPs Google 534968327 Updated last 30d: 195179833 Keywords Google 8112322243 Updated last 30d: 6662776899 Live Backlinks 1905248028312 Crawled last 24h: 8637101827 DataForSEO APIs SERP API Keyword Data API Backlinks API Domain Analytics API On-Page API DataForSEO Labs API Business Data API Merchant API App Data API Content Analysis API AI Optimization Data API SERP API Your one-stop datasource of structured SERP data Build rank tracking and SEO competitor analysis tools faster using the most comprehensive source of real-time SERP,BASIC,SELF_SERVE,REST,comprehensive source of real-time SERP data,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://dataforseo.com/apis; https://docs.dataforseo.com/v3/auth/; https://docs.dataforseo.com/
SE Ranking,SEO & GEO Data at Scale API,Automate SEO & GEO workflows with SE Ranking’s SEO API,"API_KEY, AUTHORIZATION_HEADER",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.89,https://seranking.com/api.html; https://seranking.com/api/data/getting-started/; https://seranking.com/api/project/getting-started/
Ahrefs,AI/ML,"Research keywords, analyze backlinks, track rankings, and monitor brand visibility across traditional search and AI platforms.",API_KEY,SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://ahrefs.com/api; https://ahrefs.com/en/api
MrScraper,Web Scraping,MrScraper is an all-in-one web scraping platform that allows users to scrape data quickly and efficiently.,API_KEY,SELF_SERVE,REST,"Comprehensive API with endpoints for authentication, pagination, error handling, and scraper management.",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.89,https://docs.mrscraper.com; https://docs.mrscraper.com/docs/api/overview; https://docs.mrscraper.com/docs/getting-started/api-token; https://docs.mrscraper.com/docs/getting-started/quickstart
Apify,AI agent toolkit,"Apify is a platform for web scraping, data extraction, and AI agent development. It provides a range of tools and services, including Actors, which are reusable pieces of code that can be used to extract data from websites, and the MCP server, which allows developers to discover and use Actors with AI agents and LLMs.","API_KEY, TOKEN",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://docs.apify.com; https://docs.apify.com/api/v2
Firecrawl,Web Data API,"Search the web and get full page content from results, scrape extract content from any webpage in markdown or json format, crawl entire websites, extract structured data from entire webpages using natural language, map get a complete list of URLs from any website quickly and reliably.",API_KEY,SELF_SERVE,REST,"full page content from results, extract content from any webpage, crawl entire websites, extract structured data from entire webpages, map get a complete list of URLs from any website",OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.7,https://firecrawl.dev; https://docs.firecrawl.dev/api-reference/introduction; https://docs.firecrawl.dev/api-reference/v2-introduction
Bright Data,Web Data Platform,"Collect, process and scale access to public web data","API_KEY, PROXY_USERNAME_PASSWORD",SELF_SERVE,REST,petabyte-scale,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.88,https://brightdata.com; https://docs.brightdata.com/api-reference/authentication; https://docs.brightdata.com/api-reference/proxy/proxy_api_auth
Sherlock,OSINT,Hunt down social media accounts by username across 400+ social networks,"API_KEY, TOKEN",SELF_SERVE,REST,400+ social networks,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.83,https://github.com/sherlock-project/sherlock; https://github.com/sherlock-project/api/blob/master/README.md
Waterfall.io,Data Enrichment,"Connects B2B companies with verified contact data, email verification, and more",API_KEY,SELF_SERVE,REST,"modular & scalable, unified data schema, high rate limits, 99.99% uptime",UNOFFICIAL,BUILD_NOW,NONE,VERIFIED,0.82,https://waterfall.io; https://docs.waterfall.io/v1/authentication; https://docs.waterfall.io/v1/introduction
Clay,GTM (Go-To-Market) data platform,Build systems to grow revenue,"API_KEY, BASIC, JWT",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.85,https://clay.com; https://university.clay.com/docs/http-api-integration-overview; https://developers.clay.com
GitHub,Development,"GitHub REST API is a public API for creating integrations, retrieving data, and automating workflows.","PASSWORD, TOKEN, SSH_KEY",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://docs.github.com/rest; https://docs.github.com/en/authentication
Vercel,API Management,Interact programmatically with your Vercel account using the SDK or direct HTTP requests.,OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://vercel.com/docs/rest-api; https://vercel.com/docs/rest-api/authentication/create-an-auth-token
Netlify,API Gateway,"Build custom agents into your applications without opening accounts with LLM providers, managing multiple spend outlets, or messing with environment variables.","OAUTH2, API_KEY",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developers.netlify.com; https://docs.netlify.com/api; https://open-api.netlify.com/
Cloudflare,API Management,"Cloudflare API provides access to Cloudflare's features and services, allowing developers to automate tasks, retrieve data, and perform actions programmatically.","API_KEY, TOKEN",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://api.cloudflare.com/
Supabase,Database as a Service,"Supabase is a full Postgres database for every project with Realtime functionality, database backups, extensions, and more.","EMAIL_PASSWORD, PASSWORDLESS, OAUTH, MOBILE",SELF_SERVE,BOTH,"auto-generated, instant, self-documenting, secure, fast",https://mcp.supabase.com/mcp?project_ref=${SUPABASE_PROJECT_REF},UNKNOWN,not enough verified facts to decide,VERIFIED,0.92,https://supabase.com/docs
Neo4j,Database,Graph database,"BASIC, TOKEN, LDAP, KERBEROS",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.4,https://neo4j.com/docs/api; https://neo4j.com/blog/developer/neo4j-rest-api-from-java-authentication-required/; https://neo4j.com/docs/operations-manual/current/authentication-authorization/; https://neo4j.com/docs/aura/api/authentication/
Snowflake,Data Platform,"Discover reference architectures, industry-specific use cases and solutions best practices from Snowflake experts and partners.","PASSWORD, OAUTH, KEY_PAIR, SSO, OKTA, WORKLOAD_IDENTITY_FEDERATION",SELF_SERVE,REST,comprehensive,OFFICIAL,UNKNOWN,not enough verified facts to decide,VERIFIED,1.0,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/snowflake-rest-api; https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication
MongoDB Atlas,Database Management,Programmatic access to MongoDB Atlas for administrative tasks and deployment management,"OAUTH2, BASIC",SELF_SERVE,REST,Comprehensive administrative API for Atlas clusters,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://www.mongodb.com/docs/atlas/api; https://www.mongodb.com/docs/api/doc/atlas-admin-api-v2/authentication
Datadog,Monitoring and Analytics,Datadog provides a platform for monitoring and analytics of applications and infrastructure.,"OAUTH2, API_KEY",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,RESEARCHED,0.97,https://docs.datadoghq.com/; https://docs.datadoghq.com/api/latest/authentication/; https://docs.datadoghq.com/api/
Sentry,API,"The Sentry web API is used to access the Sentry platform programmatically. You can use the APIs to manage account-level resources, like organizations and teams, as well as manage and export data.","API_KEY, OAUTH2",SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://docs.sentry.io/api; https://docs.sentry.io/api/auth/; https://docs.sentry.io/api/
Notion,API toolkit,Connect your workspace to external tools and automate workflows through code.,"OAUTH2, API_KEY, BASIC, TOKEN, JWT",SELF_SERVE,REST,nearly everything in a workspace,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developers.notion.com
Airtable,Development Platform,"Build custom tools, integrations, and visualizations on top of Airtable's data",TOKEN,SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://airtable.com/developers; https://airtable.com/developers/web/api/authentication; https://support.airtable.com/docs/api
Linear,AI Agent Toolkit,"Use the GraphQL API to query and mutate data, authenticate with OAuth 2.0 or personal API keys, and integrate an AI agent into Linear","OAUTH2, API_KEY",SELF_SERVE,GRAPHQL,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developers.linear.app
Jira,AI agent toolkit,"Integrate anything, bring your organization's unique data to Jira and Confluence, connect backend services, specialized tools, and more, all in one unified experience","API_KEY, OAUTH2, JWT",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://developer.atlassian.com; https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/
Asana,AI/ML,"Integrate tools, automate actions, and customize your workflows with Asana’s developer platform.","OAUTH2, API_KEY, TOKEN",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.84,https://developers.asana.com; https://developers.asana.com/docs/authentication; https://developers.asana.com/docs/docs/{siteUrl}; https://developers.asana.com/reference/rest-api-reference
Monday.com,AI Agent Toolkit,"Turn agents into teammates, connect them to the platform, bring your own, collaborate, use them anywhere, govern everything, connect to any LLM, run agents from your code, and connect to your monday data from anywhere",API_KEY,SELF_SERVE,GraphQL,comprehensive,OFFICIAL,UNKNOWN,not enough verified facts to decide,VERIFIED,0.86,https://developer.monday.com; https://developer.monday.com/api-reference/docs/authentication; https://developer.monday.com/api-reference/docs/getting-started
ClickUp,AI agent toolkit,Build integrations and apps with our Public API. Connect your AI with ClickUp using our MCP Server.,"API_KEY, OAUTH2",SELF_SERVE,REST,Public API,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://clickup.com/api; https://developer.clickup.com/docs/authentication
Coda,API,"List and search documents, create new docs and copy existing ones, share and publish docs, discover pages, tables, formulas, and controls, read, insert, upsert, update, and delete rows",API_KEY,SELF_SERVE,REST,broad,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://coda.io/developers; https://coda.io/@vishesh-jain/api-documentation/api-authentication-14
Smartsheet,Productivity,"Smartsheet is a cloud-based work management platform that helps teams plan, track, and report on work.",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.81,https://www.smartsheet.com/content-center/managing-work/it-management/api-smartsheet-integration; https://developers.smartsheet.com/api/smartsheet/guides/getting-started; https://developers.smartsheet.com
Harvest,Accounting and Time Tracking,"The Harvest API allows developers to access and manipulate data from Harvest, a time tracking and accounting platform.","PERSONAL_ACCESS_TOKEN, OAUTH2",SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://help.getharvest.com/api-v2; https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/
Stripe,Payment Processing,The Stripe API is a payment processing API that allows developers to integrate payment functionality into their applications.,API_KEY,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.86,https://stripe.com/docs/api; https://stripe.com/docs/api/authentication
Plaid,Financial Services,"Build with Plaid to connect users' accounts, retrieve bank account information, and more",OAUTH2,SELF_SERVE,REST,comprehensive,OFFICIAL,BUILD_NOW,NONE,VERIFIED,0.91,https://plaid.com/docs; https://plaid.com/docs/auth/add-to-app/; https://plaid.com/docs/api/; https://plaid.com/docs/api/products/auth/
